id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
276718105,Sách Ngữ Pháp Tiếng Anh Tối Giản dành cho người mới bắt đầu - Tác giả BS. Đỗ Trung Kiên,99000,196000,49,5.0,33,468,Đỗ Trung Kiên,Nhà Xuất Bản Thế Giới,Nhà Xuất Bản Thế Giới,,Bìa mềm,586,2024-11-22,BS Đỗ Trung Kiên,available,1000,True,True,True
278500643,Sách Động Từ Bất Quy Tắc & Ngữ Pháp Tiếng Anh Căn Bản,12060,18000,33,5.0,2,27,Zenbooks,Zenbooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278148874,Sách - Bảng Động Từ Bất Quy Tắc Trong Tiếng Anh,10000,10000,0,5.0,1,30,Phan Thị Minh Châu,Cty Giáo Dục Đức Trí,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278094949,Sách Giải Thích Ngữ Pháp Tiếng Anh (Ấn Phẩm Mới),131100,190000,31,5.0,17,261,Lighthouse Writers,Zenbooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,384,,Tiki Trading,available,1000,False,True,True
197639028,Sách Động Từ Bất Quy Tắc Và Ngữ Pháp Tiếng Anh Căn Bản,13860,18000,23,4.8,16,921,Mai Lan Hương,Zenbooks,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,Cuốn,2022-07-07,Tiki Trading,available,1000,False,True,True
50319309,Sách 600 động từ bất quy tắc trong tiếng anh,56000,70000,20,4.8,17,80,,MCBOOKS,,,Bìa mềm,172,,MCBooks,available,1000,True,True,True
74416874,Sách Perfect English Grammar - Cẩm Nang Tự Học Toàn Diện Ngữ Pháp Tiếng Anh - Basic,107000,139000,23,5.0,33,212,Thiên Hương,Megabook,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,200,2020-12-01,Tiki Trading,available,1000,False,True,True
252385478,Destination B2 Grammar and Vocabulary (Kèm Đáp Án) Tặng Audio và bài tập thực hành MCBooks,148500,198000,25,5.0,42,531,,MCBOOKS,Nhà Xuất Bản Hồng Đức,,,,,BizbooksJSC,available,1000,True,True,True
566335,Sách Một Trăm Bài Tập Tiếng Anh Hữu Ích,19000,24000,21,4.8,11,114,Nguyễn Thành Yến,Nhà Sách Minh Tâm,Nhà Xuất Bản Tp.HCM,,Bìa mềm,180,2005-11-01,Tiki Trading,available,1000,False,True,True
5953131,Sách Short Note Grammar & Conversation - Học Đàm Thoại Tiếng Anh Chuẩn Ngữ Pháp,175000,238000,26,5.0,32,315,Issaree Jaemkham,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,336,2018-10-12,Tiki Trading,available,1000,False,True,True
278146877,Destination B1 - Grammar And Vocabulary With Answer Key (Tái Bản),138800,178000,22,0.0,0,5,Steve Taylore-Knowles,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
7948461,Sách Ngữ Pháp Tiếng Anh – Trình Độ Sơ Cấp (Tập 1),139000,198000,30,4.8,10,116,"Dennis Le Boeuf, Liming Jing, Alex Rath, Ph.D.",Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,176,2018-11-29,Tiki Trading,available,1000,False,True,True
276033474,Bài Tập Tiếng Anh 6 Global Success (Không Đáp Án) - Mai Lan Hương,64600,76000,15,0.0,0,5,Mai Lan Hương,Hasabooks,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,168,2024-08-28,Hasabooks Official Store,available,1000,True,True,True
278582790,Đề Kiểm Tra Tiếng Anh 6 Global Success - Mai Lan Hương,67150,79000,15,0.0,0,10,Mai Lan Hương,Hasabooks,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,176,2025-08-28,Hasabooks Official Store,available,1000,True,True,True
90589118,130 Bài Ngữ Pháp Tiếng Anh - English Grammar In Use ,95000,95000,0,5.0,12,108,,Minh Thắng,Nhà Xuất Bản Hồng Đức,,Bìa mềm,440,,NewShop Official,available,1000,True,True,True
22634371,Sách English At A Glance – Các Thì Trong Tiếng Anh,48000,60000,20,5.0,20,186,PONS,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,6,2019-07-01,Tiki Trading,available,1000,False,True,True
5953155,Sách Short Note Grammar - Ngữ Pháp Tiếng Anh Dễ Hiểu Dễ Nhớ,168000,168000,0,0.0,0,12,Issaree Jaemkham,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,192,2018-10-12,NHBook,available,1000,True,True,True
209292957,Grammar Gateway Intermediate - Bản Quyền,187100,189000,1,0.0,0,3,,Alphabooks,Nhà Xuất Bản Thế Giới,,,,,Gooda Official,available,1000,True,True,True
192410617,3000 ngữ động từ tiếng Anh và cách dùng,39000,50000,22,5.0,5,45,Tuấn Kiệt,CÔNG TY TNHH MTV TRÍ TUỆ,Nhà Xuất Bản Thanh Niên,,Bìa mềm,390,2022-07-16,Trí Tuệ Book,available,1000,True,True,True
173650547,30 Chuyên Đề Ngữ Pháp Tiếng Anh Cô Trang Anh: Sách ID Tổng ôn Ngữ pháp Tiếng Anh Moonbook,200000,250000,20,4.7,207,856,Trang Anh,Aladanh,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,600,,MoonBook - Top 1 sách luyện thi,available,1000,True,True,True
20444622,Sách Cẩm Nang Cấu Trúc Tiếng Anh,91100,98000,7,5.0,435,1758,Trang Anh,Huy Hoàng Bookstore,,,,,,Nhà sách Fahasa,available,1000,True,True,True
278945697,"Sách - Combo Ngữ pháp tiếng anh, Giải thích ngữ pháp tiếng anh - Mai Lan Hương (Tái bản 2024)",270000,300000,10,0.0,0,9,"Mai Lan Hương , Nguyễn Thanh Loan",MCBOOKS,Nhà Xuất Bản Dân Trí,,,,,MCBooks,available,1000,True,True,True
250339500,Destination B1 Grammar and Vocabulary Kèm Đáp Án,198000,198000,0,4.8,39,487,nhieu tac gia,MCBooks,Nhà Xuất Bản Hồng Đức,,,,,MCBooks,available,1000,True,True,True
250334911,Combo 2 Cuốn Sách Destination B1 & B2 Grammar and Vocabulary Kèm Đáp Án,324720,396000,18,5.0,15,128,,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,2023-04-01,BizbooksJSC,available,1000,True,True,True
276375319,Sách Ngữ pháp không tẻ nhạt,207000,278000,26,5.0,1,32,Potjanee Muangsilapasart,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa gập,416,,Tiki Trading,available,1000,False,True,True
274057079,"Giải thích ngữ pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản) - Mai Lan Hương, Hà Thanh Uyên",220000,220000,0,5.0,8,72,"Mai Lan Hương,  Hà Thanh Uyên",Saigon Books,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,,,Hiệu Sách Tự Do,available,1000,True,True,True
4364039,Sách English For Everyone - English Grammar Guide,324000,360000,10,5.0,6,19,"Thomas Booth, Trish Burrow",Nhân Trí Việt,,,Bìa mềm,364,2018-09-01,Nhà sách Fahasa,available,1000,True,True,True
225940850,Giải Thích Ngữ Pháp Tiếng Anh ,220000,220000,0,0.0,0,18,"Mai Lan Hương , Hà Thanh Uyên",Zenbooks,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,560,2023-02-21,Hiệu Sách Tự Do,available,1000,True,True,True
78631501,Combo 2 Cuốn Perfect English Grammar - Cẩm Nang Tự Học Toàn Diện Ngữ Pháp Tiếng Anh: Basic & Advanced,202000,278000,27,5.0,40,226,Nhiều tác giả,Megabook,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,,2020-12-15,Tiki Trading,available,1000,False,True,True
268504633,Sách Hoàn thiện kỹ năng Dựng câu tiếng Anh,123000,160000,23,4.3,4,27,Lê Minh Diệu,Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,312,2023-01-01,Tiki Trading,available,1000,False,True,True
98955608,Sách Giải thích Ngữ pháp tiếng Anh (Tái Bản),220000,220000,0,0.0,0,4,"Mai Lan Hương, Hà Thanh Uyên",Zenbooks,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,560,2021-05-01,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
109505039,Combo Mindmap English Grammar và Mindmap English Vocabulary - Học Kèm App Online,290000,388000,25,5.0,75,359,The Windy,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,292,,Tiki Trading,available,1000,False,True,True
273894326,Sách TAKE NOTE ! Sổ Tay Ngữ Pháp Tiếng Anh (Gáy lò xò),56600,75000,25,5.0,3,158,"Bùi Văn Vinh, Thái Vân Anh, Nguyễn Thị Phương Anh",Nhà sách Minh Thắng,Nhà Xuất Bản Hà Nội,,Bìa mềm,96,2024-01-01,Tiki Trading,available,1000,False,True,True
192927410,Combo 02 Sách cô Trang Anh : Tổng ôn ngữ pháp tiếng anh và 2000 English collocation and idioms,288000,400000,28,5.0,29,162,Trang Anh,Aladanh,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,MoonBook - Top 1 sách luyện thi,available,1000,True,True,True
206491167,Combo Nghiền Ngữ Pháp Tiếng Anh Hình Que (Cơ Bản Và Nâng Cao),194000,246000,21,5.0,15,204,Vy Ngọc,Megabook,Nhà Xuất Bản Hà Nội,,Bìa mềm,424,2022-11-11,Tiki Trading,available,1000,False,True,True
3308393,Sách English Grammar In Use,47600,68000,30,3.3,4,130,,Nhà Sách Hồng Ân,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,448,,Bảo Châu Books,available,1000,True,True,True
277837860,Cách Biến Đổi Câu Trong Tiếng Anh - Mai Lan Hương,72250,85000,15,5.0,1,9,Mai Lan Hương - Nguyễn Thị Thanh Tâm,Hasabooks,NXB Dân Trí,,Bìa mềm,243,2025-04-23,Hasabooks Official Store,available,1000,True,True,True
49994421,Sách English For Everyone - Grammar Guide - Practice Book,295200,328000,10,5.0,3,23,Tom Booth,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,320,2020-01-01,Nhà sách Fahasa,available,1000,True,True,True
72000017,Sách English Grammar In Use (Tái Bản),47600,68000,30,4.7,14,135,Raymond Murphy,Nhà Sách Hồng Ân,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,447,2020-05-01,Bảo Châu Books,available,1000,True,True,True
108261354,Sách Tự Học Ngữ pháp Tiếng Anh Bằng Mindmap Tập 1,130500,145000,10,4.8,10,45,"Thái Ninh, Vy Ngọc, Ngọc Mỹ",Megabook,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,188,2021-06-01,Nhà sách Fahasa,available,1000,True,True,True
25130524,Sách 250 Bài Tập Ngữ Pháp Tiếng Anh - Trình Độ Sơ Cấp Và Trung Cấp (Tái Bản),145000,178000,19,5.0,4,51,Christina Cott,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,175,2019-08-01,Tiki Trading,available,1000,False,True,True
145092101,Sách Giới Từ Tiếng Anh,53600,80000,33,5.0,79,545,Mai Lan Hương - Nguyễn Thanh Loan,Zenbooks,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,207,2021-12-11,Tiki Trading,available,1000,False,True,True
192833921,Combo 2 Sách: Tiếng Anh Cho Người Mới Bắt Đầu và Tổng Ôn Ngữ Pháp Tiếng Anh Cô Trang Anh,400000,400000,0,5.0,90,554,Trang Anh,Aladanh,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,MoonBook - Top 1 sách luyện thi,available,1000,True,True,True
277024047,Sách - Tiếng Anh Cơ Bản ( Trọn Bộ 2 Tập ) - Elight,199000,199000,0,5.0,3,25,Elight,Nhà Xuất Bản Thanh Niên,Nhà Xuất Bản Thanh Niên,,,,,NHBook,available,1000,True,True,True
273916363,Take Note ! Sổ Tay Ngữ Pháp Tiếng Anh,63700,75000,15,0.0,0,13,Bùi Văn Vinh,Nhà sách Minh Thắng,Nhà Xuất Bản Hà Nội,,,,,Nhà sách Fahasa,available,1000,True,True,True
193177952,Bản đặc biệt Tổng ôn 30 chuyên đề ngữ pháp tiếng anh cô Trang anh 2023,300000,300000,0,4.8,112,689,,Aladanh,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,MoonBook - Top 1 sách luyện thi,available,1000,True,True,True
278949723,Sách 25 chuyên đề ngữ pháp tiếng Anh trọng tâm (Bám sát chương trình sách giáo khoa mới; Theo định hướng thi mới),151000,225000,33,0.0,0,2,Trang Anh,Huy Hoàng Bookstore,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa mềm,428,2025-10-12,Tiki Trading,available,1000,False,True,True
205707537,Động Từ Bất Quy Tắc Và Ngữ Pháp Tiếng Anh Căn Bản,18000,18000,0,0.0,0,22,Mai Lan Hương,Nhà Xuất Bản Đà Nẵng,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,40,,Nhà Sách Phương Nam,available,1000,True,True,True
275332782,Sách Nuance 2 - 50 Sắc Thái Câu,112200,159000,29,5.0,9,168,"Kevin Kang, Hanna Byun",Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,264,2024-06-15,Tiki Trading,available,1000,False,True,True
275906703,Giải Thích Ngữ Pháp Tiếng Anh - Mai Lan Hương,186000,215000,13,0.0,0,31,,Hasabooks,NXB Dân Trí,,,,,Hasabooks Official Store,available,1000,True,True,True
24155194,Sách 360 Động Từ Bất Quy Tắc Và Cách Dùng Các Thì Tiếng Anh (Tái Bản Lần Thứ 03),17100,19000,10,5.0,2,120,Trần Mạnh Tường,Nhà sách Minh Thắng,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,96,2019-07-01,Bùi Thị Anh,available,1000,True,True,True
278229050,Sách - Giải Thích Ngữ Pháp Tiếng Anh (Ấn Phẩm Mới),152000,190000,20,5.0,3,20,Lighthouse Writers,Zenbooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
403734,Sách Collins - English For Business - Business Grammar & Practice,172000,218000,21,4.7,21,308,Nhóm tác giả,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,189,2014-06-10,Tiki Trading,available,1000,False,True,True
277163884,English Grammar In Use - Bìa Xanh Dương ,47600,68000,30,0.0,0,2,Gehenna,Nhà Sách Hồng Ân,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,447,2020-05-01,Bảo Châu Books,available,1000,True,True,True
3210775,Sách 360 Động Từ Bất Quy Tắc Và 12 Thì Tiếng Anh Cơ Bản,31100,38000,18,4.8,10,87,Mỹ Hương,MCBOOKS,,,Bìa mềm,,2018-07-07,Nhà sách Fahasa,available,1000,True,True,True
278804305,Sách Tiếng anh cho người bắt đầu Level A1-A2 - Moonbook,164000,250000,34,0.0,0,4,nhieu tac gia,Aladanh,NXB Dân Trí,,Bìa mềm,558,,MoonBook - Top 1 sách luyện thi,available,1000,True,True,True
277838173,Trắc Nghiệm Ngữ Pháp Tiếng Anh - Mai Lan Hương,80750,95000,15,0.0,0,5,Mai Lan Hương - Nguyễn Thị Thanh Tâm,Hasabooks,NXB Dân Trí,,Bìa mềm,287,2025-04-23,Hasabooks Official Store,available,1000,True,True,True
273537705,Sách Chinh Phục Cụm Động Từ Tiếng Anh,74000,96000,23,4.8,797,78,Trang Anh,Huy Hoàng Bookstore,Nhà Xuất Bản Đại Học Sư Phạm,,,254,,Tiki Trading,available,1000,False,True,True
53581170,"Sách - Combo English Grammar In Use 130 Bài Ngữ Pháp Tiếng Anh,Trau dồi ngữ pháp và từ vựng tiếng Anh",257400,260100,1,5.0,4,33,,Nhà sách Minh Thắng,Nhà Xuất Bản Hồng Đức,,,,,Minhhabooks,available,1000,True,True,True
273916339,360 Động Từ Bất Quy Tắc Và Cách Dùng Các Thì Tiếng Anh (Tái Bản 2023),36500,43000,15,0.0,0,1,Nguyễn Thị Thu Huế,Nhà sách Minh Thắng,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,Nhà sách Fahasa,available,1000,True,True,True
105231434,Đĩa Xoay Động Từ Bất Qui Tắc Tiếng Anh,14800,15000,1,5.0,16,239,Nhiều tác giả,Dn Tư Nhân Thương Mại Toàn Phúc,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,Nhà sách Fahasa,available,1000,True,True,True
277962515,Sách - Combo Grammar Friends - Tài liệu học Tiếng Anh chuẩn quốc tế Tiểu học và THCS,128000,128000,0,0.0,0,0,Oxford University Press,MCBOOKS,NXB Dân Trí,,,,,MCBooks,available,1000,True,True,True
275191049,Combo Nuance - 50 Sắc Thái Của Từ + Nuance 2 - 50 Sắc Thái Của Câu,254000,318000,20,0.0,0,17,,Alpha Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,,,Sống Official,available,1000,True,True,True
276035415,Bài Tập Tiếng Anh 9 Global Success (Có Đáp Án) - Mai Lan Hương,98900,115000,14,4.0,1,5,Mai Lan Hương,Hasabooks,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,264,2024-08-28,Hasabooks Official Store,available,1000,True,True,True
278148875,Sách - 360 Động Từ Bất Quy Tắc Và Cách Dùng Các Thì Trong Tiếng Anh (Tái Bản 2024),28500,30000,5,0.0,0,1,Thanh Hà,Huy Hoàng Bookstore,Nhà Xuất Bản Bách Khoa Hà Nội,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
272784322,Combo English Grammar For Flyers 1 + 2 (Có Đáp Án) (Bộ 2 Cuốn) - MT,162600,164300,1,0.0,0,2,"Bùi Văn Vinh, Đỗ Thị Lan Anh, Thái Vân Anh, Bùi Thị Thúy, Nguyễn Thị Phương Anh",Nhà sách Minh Thắng,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,,,Minhhabooks,available,1000,True,True,True
276051154,Ngữ Âm Học Và Âm Vị Học Tiếng Anh - English Phonetics And  Phonology - PGS.TS. Tô Minh Thanh; ThS. Phan Văn Quang ,70200,90000,22,5.0,2,31,,CÔNG TY TNHH MTV TRÍ TUỆ,Nhà Xuất Bản Thanh Niên,,Bìa mềm,194,2024-08-30,Trí Tuệ Book,available,1000,True,True,True
653989,Sách Văn Phạm Tiếng Anh Thực Hành – Practical English Grammar,56000,56000,0,5.0,10,51,"Nguyễn Xuân Khánh, Nguyễn Thanh Chương",CÔNG TY TNHH TM DV VĂN HÓA GIA VŨ,Nhà Xuất Bản Thời Đại,,Bìa mềm,522,2013-07-27,nhà sách Ngọc Trâm,available,1000,True,True,True
10595494,Sách Bí Quyết Thông Thạo Tiếng Anh – Nắm Vững Cấu Trúc Câu,155000,208000,25,4.7,36,320,Sutida Wimuttikosol,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,208,2019-02-01,Tiki Trading,available,1000,False,True,True
273587914,Chinh Phục Cụm Động Từ Tiếng Anh (Tái Bản 2023),89200,96000,7,0.0,0,1,Trang Anh,Huy Hoàng Bookstore,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,Nhà sách Fahasa,available,1000,True,True,True
6414651,Sách Nắm vững các thì và thể bị động trong tiếng Anh,181000,220000,18,4.5,15,184,Thiptida Butrachuy,Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,260,2018-10-01,Tiki Trading,available,1000,False,True,True
278044015,Thì Và Sự Phối Hợp Thì Trong Tiếng Anh - Mai Lan Hương,55250,65000,15,0.0,0,3,"Mai Lan Hương , Nguyễn Thị Thanh Tâm",Hasabooks,NXB Dân Trí,,Bìa mềm,184,2025-05-29,Hasabooks Official Store,available,1000,True,True,True
278703220,Sách - Digital SAT Study Guide - Premium Edition,615100,699000,12,0.0,0,0,nhieu tac gia,1980 Books,Nhà Xuất Bản Công Thương,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
136539480,700 Động từ bất quy tắc và ngữ pháp các thì trong tiếng Anh,49400,52000,5,5.0,1,4,"Thanh Nhân,  Đông Hòa",Cty Chính Thông,Nhà Xuất Bản Đại Học Sư Phạm TPHCM,,Bìa mềm,143,2021-10-21,Cá Chép Bookstore,available,1000,True,True,True
278713430,Sách - Mastering English Grammar - 180 Ngày Làm Chủ Ngữ Pháp Tiếng Anh,141000,172000,18,0.0,0,1,nhieu tac gia,MCBOOKS,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
276751083,Cụm Động Từ Tiếng Anh Thông Dụng - Mai Lan Hương,129000,150000,14,0.0,0,1,"Mai Lan Hương, Hà Thanh Uyên",Hasabooks,NXB Dân Trí,,Bìa mềm,296,2024-12-09,Hasabooks Official Store,available,1000,True,True,True
199121552,Combo Chinh phục toàn diện Ngữ pháp tiếng Anh bằng Infographic,297000,396000,25,5.0,2,4,,MCBOOKS,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,287,,NVP,available,1000,True,True,True
52611842,Sách Giải Thích Ngữ Pháp Tiếng Anh (Tái Bản 2020),220000,220000,0,0.0,0,0,"Mai Lan Hương, Hà Thanh Uyên",Zenbooks,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,560,2020-04-01,Hiệu Sách Tự Do,available,1000,True,True,True
272620389,Giải Thích Ngữ Pháp Tiếng Anh - Tái bản 2023,220000,220000,0,0.0,0,3,"Mai Lan Hương , Hà Thanh Uyên",Zenbooks,Nhà Xuất Bản Đà Nẵng,,,,,Hiệu Sách Tự Do,available,1000,True,True,True
76696729,Sách The Langmaster - Giải Thích Ngữ Pháp Tiếng Anh (Tái Bản),133800,135200,1,0.0,0,3,Tràn Mạnh Tường,Nhà sách Minh Thắng,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,640,2021-01-01,Minhhabooks,available,1000,True,True,True
24822997,Sách Từ Nối Trong Tiếng Anh,86400,95000,9,4.8,9,48,"Vũ Dung, Vũ Thủy",Trí Việt,,,Bìa mềm,280,2019-07-01,Nhà sách Fahasa,available,1000,True,True,True
278617204,Sách - Short Notes On English Grammar,72800,80000,9,0.0,0,0,nhieu tac gia,Fahasa,Nhà Xuất Bản Thuận Hóa,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
275030543,600 Động Từ Bất Quy Tắc Và Cách Dùng Các Thì Tiếng Anh - Tái Bản (HH),38250,45000,15,0.0,0,1,Trang Anh,Huy Hoàng Bookstore,Nhà Xuất Bản Bách Khoa Hà Nội,,Bìa mềm,124,,Văn Lang Official Store,available,1000,True,True,True
7948463,Sách Ngữ Pháp Tiếng Anh – Trình Độ Trung Cấp (Tập 1),227000,268000,15,5.0,5,73,"Dennis Le Boeuf, Liming Jing, Alex Rath, Ph.D.",Nhân Trí Việt,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,176,2018-11-29,Tiki Trading,available,1000,False,True,True
32155084,Combo 25 Chuyên đề ngữ pháp tiếng anh trọng tâm ( trọn bộ tập 1+2 ),174000,230000,24,5.0,2615,8415,Trang Anh,Huy Hoàng Bookstore,Nhà Xuất Bản Đại Học Sư Phạm,,Bìa mềm,660,2019-02-12,Tiki Trading,available,1000,False,True,True
7948464,Sách Ngữ Pháp Tiếng Anh – Trình Độ Trung Cấp (Tập 2),270700,288000,6,5.0,1,8,"Dennis Le Boeuf, Liming Jing, Alex Rath, Ph.D.",Nhân Trí Việt,,,Bìa mềm,176,2018-11-29,Nhà sách Fahasa,available,1000,True,True,True
273894304,Sách TAKE NOTE ! Sổ Tay Ngữ Pháp Tiếng Anh ( Bìa mềm),33900,50000,32,4.7,3,33,"Bùi Văn Vinh, Thái Vân Anh, Nguyễn Thị Phương Anh",Nhà sách Minh Thắng,Nhà Xuất Bản Hà Nội,,Bìa mềm,96,2024-01-01,Tiki Trading,available,1000,False,True,True
273695403,Sách - TAKE NOTE ! Sổ tay ngữ pháp tiếng anh (mềm),50000,50000,0,0.0,0,0,,Nhà Sách Hồng Ân,Nhà Xuất Bản Hà Nội,,Bìa mềm,,,Khanhlinhbook,available,1000,True,True,True
275826922,Ngữ pháp tiếng Anh (Mai Lan Hương)  -Tái bản 2024 ,81600,85000,4,0.0,0,0,"Mai Lan Hương , Nguyễn Thanh Loan",CÔNG TY TNHH TMDV & TRUYỀN THÔNG TYM,Nhà Xuất Bản Dân Trí,,Bìa mềm,280,2024-07-17,TYMBooks,available,1000,True,True,True
84736500,Cẩm nang cấu trúc Tiếng Anh,85000,85000,0,5.0,1,5,,Nhà sách Minh Thắng,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,trungthanh2018,available,1000,True,True,True
278713524,Sách - Động Từ Bất Quy Tắc Và Ngữ Pháp Tiếng Anh Căn Bản,15300,18000,15,0.0,0,0,nhieu tac gia,Zenbooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
230199877,Ngữ Pháp Tiếng Anh Căn Bản (HA),58000,58000,0,0.0,0,2,,Nhà Sách Hồng Ân,Nhà Xuất Bản Giáo Dục,,,,,NewShop Official,available,1000,True,True,True
14458907,Sách Ngữ Pháp Và Giải Thích Chi Tiết Ngữ Pháp Tiếng Anh Tập 2 (Tái Bản),210000,210000,0,5.0,1,1,"Đại Lợi, Vân Anh",Nhà sách Minh Thắng,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,408,2019-04-01,NewShop Official,available,1000,True,True,True
278148899,Sách - Tự Học Ngữ Pháp Tiếng Anh Cơ Bản,81100,99000,18,0.0,0,1,Nhung Đỗ,MCBOOKS,Nhà Xuất Bản Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
7978782,Sách Ngữ Pháp Và Giải Thích Ngữ Pháp Tiếng Anh Cơ Bản Và Nâng Cao (Tập 1),177000,239000,26,4.8,329,3447,Vũ Thị Mai Phương,MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,383,2018-12-01,Tiki Trading,available,1000,False,True,True
278689147,Sách Tự Học Ngữ Pháp Tiếng Anh Cơ Bản - Khổ Nhỏ Cầm Tay,82170,99000,17,0.0,0,5,"Nhung Đỗ, Giang Vi",MCBOOKS,Nhà Xuất Bản Hồng Đức,,Bìa mềm,284,,Tiki Trading,available,1000,False,True,True
279165243,Trắc Nghiệm Ngữ Pháp Tiếng Anh- Mai Lan Hương,89100,90000,1,0.0,0,0,"Mai Lan Hương , Nguyễn Thị Thanh Tâm",Huy Hoàng Bookstore,Nhà Xuất Bản Dân Trí,,,,,Minhhabooks,available,1000,True,True,True
275906814,Động Từ Bất Quy Tắc & Ngữ Pháp Tiếng Anh Căn Bản,16000,16000,0,0.0,0,82,,Hasabooks,NXB Dân Trí,,,,,Hasabooks Official Store,available,1000,True,True,True
24823018,Sách Trạng Từ Trong Tiếng Anh,89100,98000,9,5.0,5,21,"Vũ Thủy, Vũ Dung",Trí Việt,,,Bìa mềm,288,2019-07-01,Nhà sách Fahasa,available,1000,True,True,True
2225129,Sách 900 Câu Tiếng Anh Trình Độ Cơ Bản - Tập 3 (Kèm file MP3),78300,113000,31,0.0,0,30,Joshua Kirkman,Nhân Trí Việt,,,,196,,Tiki Trading,available,1000,False,True,True
