id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279250964,Sách - Có Thương Cậu Không?,198300,239000,17,0.0,0,7,nhieu tac gia,Công Ty Cổ Phần Time Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279193599,Sách Người Tuyết Của Em Có Thể Sống Được Bao Lâu? - Tập 2,141750,189000,25,4.5,13,110,Trĩ Sở,Daisybooks,Nhà Xuất Bản Dân Trí,,,432.0,,Tiki Trading,available,1000,False,True,True
279193586,Sách Sách Sương Mù Tập 3,134250,179000,25,5.0,11,78,Vi Phong Kỷ Hứa,Daisy.horror,Nhà Xuất Bản Dân Trí,,,400.0,,Tiki Trading,available,1000,False,True,True
279182103,Sách Sương Mù Tập 2,134250,179000,25,4.5,11,97,Vi Phong Kỷ Hứa,Daisy.horror,Nhà Xuất Bản Dân Trí,,,390.0,,Tiki Trading,available,1000,False,True,True
279160125,Sách Người Tuyết Của Em Có Thể Sống Được Bao Lâu? - Tập 1,189000,189000,0,4.7,7,60,Trĩ Sở,Daisybooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,432.0,,Tiki Trading,available,1000,False,True,True
279069973,Sách Sương mù (Tập 1),143000,179000,20,4.3,6,76,Vi Phong Kỷ Hứa,Daisy.horror,Nhà Xuất Bản Dân Trí,,Bìa mềm,407.0,,Tiki Trading,available,1000,False,True,True
278992920,"Sách Có Thương Cậu Không? (trọn bộ) - Alata - Tình trai, chủ tớ, làng quê, đam mỹ, boy love",203150,239000,15,0.0,0,6,Alata,Công Ty Cổ Phần Time Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,488.0,,SÁCH TIMEBOOKS,available,1000,True,True,True
278951870,Sách Đôi Bạn Cùng Tiến (Tập 2),164000,205000,20,5.0,1,24,Đại Bông,Moon Novels,Nhà Xuất Bản Dân Trí,,Bìa mềm,480.0,,Tiki Trading,available,1000,False,True,True
278881187,Sách Nông Trường Kỳ Ảo,125900,179000,30,4.8,10,30,Tây Tử Tự,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,440.0,,Tiki Trading,available,1000,False,True,True
278880179,Combo 2 Tập Phức Cảm Omega (Tái Bản 2025),278400,348000,20,4.3,3,0,Today Spring,Moon Novels,Nhà Xuất Bản Hà Nội,,,,,Tiki Trading,available,1000,False,True,True
278859517,Sách Thương Tiến Tửu,109900,169000,35,5.0,29,103,Đường Tửu Khanh,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,448.0,2025-10-06,Tiki Trading,available,1000,False,True,True
278857834,Sách Nhà Có Bé Ngoan,180000,225000,20,4.5,11,97,Thính Nguyên,Moon Novels,Nhà Xuất Bản Dân Trí,,Bìa mềm,520.0,2025-11-14,Tiki Trading,available,1000,False,True,True
278839992,Sách Lời Hồi Đáp Của Keanu Reeves - Tập 1,150800,232000,35,0.0,0,16,Thanh Minh Cốc Vũ,Linh Lan Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,460.0,,Tiki Trading,available,1000,False,True,True
278837636,Luận Kết Cục Trông Mặt Mà Bắt Hình Dong,133200,189000,30,5.0,4,39,Nguyệt Hạ Điệp Ảnh,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,536.0,,Tiki Trading,available,1000,False,True,True
278809534,Sách Mỹ Nam Hoa Hồng (Tập 2),175000,199000,12,0.0,0,21,Vi Phong Kỷ Hứa,Moon Novels,Nhà Xuất Bản Dân Trí,,Bìa mềm,432.0,,Tiki Trading,available,1000,False,True,True
278777851,Sách Ma Đạo Tổ Sư - Tái Bản 2025,126000,179000,30,4.7,9,51,Mặc Hương Đồng Khứu,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278749523,Ngũ Hành Của Tôi Thiếu Em,124600,179000,30,5.0,18,118,Tây Tử Tự,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,464.0,,Tiki Trading,available,1000,False,True,True
278728448,"Đôi ""Bạn"" Cùng Tiến - Tập 1",184000,205000,10,5.0,2,17,Đại Bông,Moon Novels,Nhà Xuất Bản Dân Trí,,Bìa mềm,456.0,2025-10-11,Tiki Trading,available,1000,False,True,True
278679652,Sách Couple Này Chú Không Ship Sao - Tập 2,135200,169000,20,4.6,9,53,Mã Hộ Tử Quân,Daisybooks,Nhà Xuất Bản Hà Nội,,Bìa mềm,372.0,2025-09-25,Tiki Trading,available,1000,False,True,True
278575755,Sách Ai Đó - Tập 1,178000,199000,11,4.8,23,120,Mộc Tô Lý,Irisbooks,Nhà Xuất Bản Hà Nội,,Bìa mềm,432.0,2025-08-29,Tiki Trading,available,1000,False,True,True
278526486,Sách Codename Anastasia – Mật Danh Anastasia – Tập 1,180000,225000,20,4.7,26,150,Boyseason,Moon Novels,Nhà Xuất Bản Dân Trí,,Bìa mềm,440.0,2025-08-27,Tiki Trading,available,1000,False,True,True
278250470,Sách Không Yêu Thì Đi Chết Đi,122900,189000,35,5.0,6,23,Long Thất,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
277962612,Sách Thiên Quan Tứ Phúc,124000,179000,31,5.0,43,314,Mặc Hương Đồng Khứu,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,456.0,,Tiki Trading,available,1000,False,True,True
277946305,Sách Bất Tuần (Tập 1),166000,185000,10,4.7,18,65,Sa Trụ Đảo,Daisy Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,412.0,2025-05-12,Tiki Trading,available,1000,False,True,True
277514023,"Sách ""52HZ"" Tập 1",151200,189000,20,4.8,17,101,Nhị Nguyệt Trúc,Moon Novels,Nhà Xuất Bản Hà Nội,,Bìa mềm,520.0,2025-05-01,Tiki Trading,available,1000,False,True,True
277228103,Sách Husky Và Sư Tôn Mèo Trắng Của Hắn,108200,169000,36,5.0,11,180,Nhục Bao Bất Cật Nhục,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
276835583,Sách Hot Search Trời Giáng,147100,189000,22,4.8,9,46,Nhan Lương Vũ,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,,,2024-12-19,Tiki Trading,available,1000,False,True,True
276657645,Sách Hệ Thống Tự Cứu Của Nhân Vật Phản Diện (Tái bản),114600,179000,36,4.3,14,102,Mặc Hương Đồng Khứu,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
275903865,Sách Em Và Chức Vô Địch Đều Thuộc Về Anh – Tập 1,135200,169000,20,5.0,9,72,Trần Ẩn,Moon Novels,Nhà Xuất Bản Hà Nội,,Bìa mềm,480.0,,Tiki Trading,available,1000,False,True,True
274802601,"Sách Nhân Sinh Dù Rộng Lớn, Muôn Kiếp Vẫn Gặp Người",123510,179000,31,5.0,4,25,littlebbear96,1980 Books,Nhà Xuất Bản Thanh Niên,,Bìa mềm,424.0,2024-01-01,Tiki Trading,available,1000,False,True,True
274318142,Sách Sơn Hà Bất Dạ Thiên,123900,169000,27,5.0,17,146,Mạc Thần Hoan,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,,2024-02-01,Tiki Trading,available,1000,False,True,True
273746688,Sách Địa Cầu Online,147100,199000,26,4.8,21,84,Mạc Thần Hoan,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,552.0,2023-11-01,Tiki Trading,available,1000,False,True,True
273516777,Sách Quan tình trai - Tập 2,135850,209000,35,4.7,11,56,Thanh Khâu,Daisy.horror,Nhà Xuất Bản Hà Nội,,Bìa mềm,420.0,,Tiki Trading,available,1000,False,True,True
272447903,Sách Đừng nhặt bạn trai trong thùng rác,123500,169000,27,5.0,56,123,Kỵ Kình Nam Khứ,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,520.0,2023-02-15,Tiki Trading,available,1000,False,True,True
272447731,Sách Xông vào lối âm dương,124800,169000,26,5.0,74,197,Mộc Hề Nương,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,536.0,2023-02-23,Tiki Trading,available,1000,False,True,True
272155345,Sách Kính Vạn Hoa Chết Chóc,124800,189000,34,5.0,136,781,Tây Tử Tự,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,528.0,2023-09-01,Tiki Trading,available,1000,False,True,True
230036519,Sách Trí Hoán Hung Đồ,144000,299000,52,5.0,24,152,Miêu Trà Hải Ly,Whale Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,518.0,2023-02-24,Tiki Trading,available,1000,False,True,True
177746995,Truyện Ma Không Hồi Kết,216750,289000,25,4.8,485,1561,Mộc Hề Nương,Meibooks,Nhà Xuất Bản Hà Nội,,Bìa cứng,472.0,2022-05-05,Tiki Trading,available,1000,False,True,True
160585832,Sách Veil – Sắc Trắng Yêu Kiều - Tập 3 (Tặng Kèm Postcard),90500,109000,17,5.0,281,993,Koterri!,ZGroup,Nhà Xuất Bản Hà Nội,,Bìa mềm,132.0,2022-01-01,Tiki Trading,available,1000,False,True,True
122336552,Sách Vì Em Không Xứng - Tập 1,98600,159000,38,5.0,267,662,Dịch Tu La,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,520.0,2021-09-01,Tiki Trading,available,1000,False,True,True
279132708,Sách - Ngày Nghỉ - Season 2 - Tập 1 - Tặng Kèm Bookmark Bế Hình Thạch Xuân Lôi + Postcard “Action!”,150100,158000,5,0.0,0,2,nhieu tac gia,XYZ,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279131507,Sách - Gửi Cậu Lời Từ Biệt Thứ Hai - Tập 2 - Tặng Kèm Postcard Hai Mặt,91000,99000,8,0.0,0,2,nhieu tac gia,XYZ,Nhà Xuất Bản Hà Nội,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279131320,Sách - Sasaki Và Miyano - Tập 9 - Tặng Kèm Bookmark Hai Mặt Bồi Đôi + Frame Card Kèm Chân Đế Dựng Tiện Lợi,79000,85000,7,0.0,0,2,nhieu tac gia,XYZ,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278944496,Sách Kẻ Thù Vừa Ngọt Vừa Bám Người (Tập 1),124000,155000,20,0.0,0,45,Phong Cửu,Daisybooks,Nhà Xuất Bản Hà Nội,,Bìa mềm,360.0,,Tiki Trading,available,1000,False,True,True
278831335,Sách - Codename Anastasia - Mật Danh Anastasia - Tập 1 - Tặng Kèm 2 Bookmark,186700,225000,17,0.0,0,4,nhieu tac gia,AZ Việt Nam,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278737233,Sách - Gia Tĩnh Linh Dị Lục - Tập 2 - Tặng Kèm Set 3 Bookmark Kiêm Standee Giấy,199900,238000,16,5.0,1,10,nhieu tac gia,XYZ,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278612149,Sách Tan Học Đợi Tôi - Tập 2,183200,229000,20,4.6,9,90,Tương Tử Bối,Meibooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,472.0,2025-09-12,Tiki Trading,available,1000,False,True,True
278603901,Sách Mỹ Nam Hoa Hồng - Tập 1,159200,199000,20,5.0,3,57,Vi Phong Kỷ Hứa,Moon Novels,Nhà Xuất Bản Dân Trí,,Bìa mềm,488.0,2025-11-09,Tiki Trading,available,1000,False,True,True
278227594,Sách Bất Tuần - Tập 3,148000,185000,20,4.8,12,66,Sa Trụ Đảo,Daisybooks,Nhà Xuất Bản Hà Nội,,Bìa mềm,412.0,2025-07-07,Tiki Trading,available,1000,False,True,True
278155109,Sách Phán Quan - Tập 3,175000,199000,12,5.0,8,79,Mộc Tô Lý,Moon Novels,Nhà Xuất Bản Hà Nội,,Bìa mềm,424.0,2025-06-27,Tiki Trading,available,1000,False,True,True
278148636,Sách - Hirano Và Kagiura - Tập 1 - Tặng Kèm Bookmark Hai Mặt + Random 1 Trong 2 Mẫu Clearcard,69900,76000,8,0.0,0,2,,XYZ,Nhà Xuất Bản Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278003911,Sách U Mê (Tập 1),194250,259000,25,5.0,1,9,htrongsáng,Leaf books,Nhà Xuất Bản Dân Trí,,Bìa mềm,448.0,2025-05-22,Tiki Trading,available,1000,False,True,True
277907347,Sách Hôm nay tôi lại bị ép sống lại (Tập 1),140000,175000,20,4.7,7,55,A Từ Cô Nương,Daisy.horror,Nhà Xuất Bản Hà Nội,,Bìa mềm,432.0,2025-03-12,Tiki Trading,available,1000,False,True,True
277038948,Sách Chất Dị Ứng Đáng Yêu (Tập 3),143200,179000,20,5.0,16,100,Trĩ Sở,Daisy Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,,2024-03-12,Tiki Trading,available,1000,False,True,True
276946903,Sách - Combo 2 Cuốn: Trốn Lên Mái Nhà Để Khóc + Thưa Ngoại Con Mới Về - AZ Việt Nam,200000,200000,0,5.0,1,8,,AZ Việt Nam,Nhà Xuất Bản Thế Giới,,,,,Bamboo Books,available,1000,True,True,True
276860883,Sách Tháng 12 – Tập 1,126400,158000,20,5.0,2,22,samk,Moon Novels,Nhà Xuất Bản Hà Nội,,Bìa mềm,,2024-03-12,Tiki Trading,available,1000,False,True,True
276780969,Sách Wireless Life,140000,175000,20,5.0,4,20,Beck,Daisy.horror,Nhà Xuất Bản Dân Trí,,Bìa mềm,416.0,2024-03-12,Tiki Trading,available,1000,False,True,True
276688014,Sách Muốn Phi Thăng Thì Yêu Đi (Tập 5),166000,189000,12,5.0,6,49,Long Thất,Hnovels,Nhà Xuất Bản Dân Trí,,Bìa mềm,392.0,2024-12-04,Tiki Trading,available,1000,False,True,True
276558936,Sách Define The Relationship – Định Rõ Mối Quan Hệ Tập 2,212000,265000,20,4.8,12,70,Flona,Moon Novels,Nhà Xuất Bản Hà Nội,,Bìa cứng,512.0,2024-11-12,Tiki Trading,available,1000,False,True,True
276401023,Sách Define The Relationship – Định Rõ Mối Quan Hệ Tập 1,175200,219000,20,5.0,14,98,Flona,Moon Novels,Nhà Xuất Bản Hà Nội,,Bìa mềm,448.0,,Tiki Trading,available,1000,False,True,True
276333510,Sách Tình Yêu Cuồng Nhiệt Sau Khi Kết Hôn,116000,129000,10,5.0,17,110,Nhất Cá Mễ Bính,Moon Novels,Nhà Xuất Bản Hà Nội,,Bìa mềm,312.0,,Tiki Trading,available,1000,False,True,True
275217307,Sách Tôi đến từ thế giới song song (Tập 1),191880,246000,22,4.8,10,77,Tây Tây Đặc,Daisy.horror,Nhà Xuất Bản Hà Nội,,Bìa mềm,468.0,2024-05-30,Tiki Trading,available,1000,False,True,True
274987889,Sách Bàn Ăn Hai Người,81000,88000,8,4.8,4,17,Morishima Peco,Mintbooks,Nhà Xuất Bản Văn Học,,Bìa mềm,232.0,,Tiki Trading,available,1000,False,True,True
274987888,"Sách Mất Trí Nhớ Rồi, Đừng Quậy! (Trọn Bộ 2 Tập)",238400,298000,20,4.7,6,52,Lục Dã Thiên Hạc,Meibooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,938.0,,Tiki Trading,available,1000,False,True,True
274319422,Sách Muốn Phi Thăng Thì Yêu Đi (Tập 2),151200,189000,20,5.0,11,82,Long Thất,Hnovels,Nhà Xuất Bản Dân Trí,,Bìa mềm,464.0,,Tiki Trading,available,1000,False,True,True
273417519,Sách Nghe Nói Tôi Rất Nghèo (Tập 3),165000,184000,10,5.0,6,50,Tô Cảnh Nhàn,Hnovels,Nhà Xuất Bản Dân Trí,,Bìa mềm,456.0,,Tiki Trading,available,1000,False,True,True
273028652,Sách Em trai hàng xóm bướng bình quá - Tập 4,130000,145000,10,4.8,10,105,S - Monkey,Daisy Comics,Nhà Xuất Bản Dân Trí,,Bìa mềm,200.0,,Tiki Trading,available,1000,False,True,True
202533847,Sách Tàn Thứ Phẩm - Tập 1,120200,169000,29,4.8,38,156,Priest,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,536.0,2022-10-10,Tiki Trading,available,1000,False,True,True
202466690,"Sách Cao Thủ ""Đổi Đen Thay Trắng"" - Tập 7",117400,159000,26,5.0,103,380,Phong Thư Lưu Ngốc,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,408.0,2022-10-01,Tiki Trading,available,1000,False,True,True
201004702,"Sách Tình Đầu Chọn Tôi, Tôi Rất Ngọt",151200,189000,20,4.8,162,509,Thụy Mang,Meibooks,Nhà Xuất Bản Hà Nội,,Bìa mềm,528.0,2022-10-01,Tiki Trading,available,1000,False,True,True
199195796,Sách Không Có Kiếp Sau - Tập 5,101400,169000,40,4.8,40,191,Nguyệt Hạ Tang,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,472.0,1900-01-09,Tiki Trading,available,1000,False,True,True
196284160,Sách Sanctify - Tập 1 ( Tái Bản),90500,109000,17,4.8,23,108,GODSSTATION,Uranix,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,216.0,2022-08-08,Tiki Trading,available,1000,False,True,True
178502490,Sách Không Có Kiếp Sau (Tập 4),101400,169000,40,5.0,59,189,Nguyệt Hạ Tang,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa rời,488.0,2022-02-02,Tiki Trading,available,1000,False,True,True
174444190,Sách Người Bên Gối,85900,119000,28,5.0,143,437,Khốn Ỷ Nguy Lâu,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,236.0,2022-01-01,Tiki Trading,available,1000,False,True,True
169621657,"Sách Cao Thủ ""Đổi Đen Thay Trắng"" - Tập 5 (Dành cho 18+)",113200,159000,29,5.0,136,403,Phong Thư Lưu Ngốc,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,464.0,2022-03-17,Tiki Trading,available,1000,False,True,True
160931492,Sách AWM Tuyệt Địa Cầu Sinh - Tập 1+2,202300,289000,30,4.7,356,813,Mạn Mạn Hà Kỳ Đa,Meibooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,920.0,2022-02-09,Tiki Trading,available,1000,False,True,True
131139976,Sách Cao Thủ Đổi Đen Thay Trắng - Tập 4 (Dành Cho 18+),98600,159000,38,5.0,176,466,Phong Thư Lưu Ngốc,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,504.0,2021-10-10,Tiki Trading,available,1000,False,True,True
122336563,Sách Vì Em Không Xứng - Tập 3,116000,159000,27,5.0,238,621,Dịch Tu La,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,480.0,2021-09-15,Tiki Trading,available,1000,False,True,True
111165275,Sách Cao Thủ Đổi Đen Thay Trắng - Tập 3 (Dành Cho 18+),138500,149000,7,5.0,87,179,Phong Thư Lưu Ngốc,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,456.0,2021-07-15,Nhà sách Fahasa,available,1000,True,True,True
75455516,Sách Trấn Hồn - Tập 2 (Bìa Mềm),135500,149000,9,5.0,45,86,Priest,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,416.0,2021-01-12,Nhà sách Fahasa,available,1000,True,True,True
279167289,Combo 3 tập Simon Snow,631440,877000,28,0.0,0,1,Rainbow Rowell,1980 Books,Nhà Xuất Bản Hà Nội,,,,,1980Books Official,available,1000,True,True,True
279155555,Simon Snow 3 (Màn Diễn Cuối Cùng),215280,299000,28,0.0,0,1,Rainbow Rowell,1980 Books,Nhà Xuất Bản Hà Nội,,,,,1980Books Official,available,1000,True,True,True
279131800,Sách - Ngày Nghỉ - Season 2 - Tập 2 - Tặng Kèm Bookmark Bế Hình Lâm Thạch + Story Card 2 Mặt,150100,158000,5,0.0,0,1,nhieu tac gia,XYZ,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279131355,Sách - Gửi Cậu Lời Từ Biệt Thứ Hai - Tập 3 - Tặng Kèm Postcard Hai Mặt,90000,99000,9,0.0,0,2,nhieu tac gia,XYZ,Nhà Xuất Bản Hà Nội,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
279131296,Sách - Ma Đạo Tổ Sư - Bản Truyện Tranh - Tập 10 - Tặng Kèm Ticket,166400,179000,7,0.0,0,2,nhieu tac gia,AZ Việt Nam,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278967702,Sách - Ai Nói Wibu Không Thể Kết Hôn! - Tập 1 - Tặng Kèm Bookmark 2 Mặt,160600,189000,15,4.0,1,1,nhieu tac gia,AZ Việt Nam,Nhiều Nhà Xuất Bản,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278894580,Sách - Lời Mị Hoặc - Tập 1 - Tặng Kèm Bookmark,186000,209000,11,5.0,1,2,nhieu tac gia,Công Ty Cổ Phần Waka,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278884094,Sách - Thương Tiến Tửu - Tập 8,164600,179000,8,0.0,0,2,nhieu tac gia,ZGroup,Nhà Xuất Bản Hà Nội,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278827358,Sách - Gửi Cậu Lời Từ Biệt Thứ Hai - Tập 1 - Tặng Kèm Postcard Hai Mặt,91000,99000,8,0.0,0,1,nhieu tac gia,XYZ,Nhà Xuất Bản Hà Nội,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278737209,Sách - Bộ Manga - Given: Tập 7 - 9 (Bộ 3 Tập) - Bản Sưu Tầm - Tặng Kèm Boxset Nam Châm + Card Bo Góc + Postcard,237600,240000,1,5.0,1,5,nhieu tac gia,IPM,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278635399,Sách - Tan Học Đợi Tôi - Tập 2 - Tặng Kèm Bookmark,187700,229000,18,0.0,0,3,nhieu tac gia,AZ Việt Nam,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278585962,Sách - Thiên Quan Tứ Phúc - Tập 1 (Tái Bản 2025) - Tặng Kèm Bookmark,155700,179000,13,5.0,1,2,nhieu tac gia,ZGroup,Nhà Xuất Bản Hà Nội,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278518848,Sách Couple Này Chú Không Ship Sao,146250,195000,25,4.5,14,62,Mã Hộ Tử Quân,Daisybooks,Nhà Xuất Bản Hà Nội,,Bìa mềm,396.0,2025-05-12,Tiki Trading,available,1000,False,True,True
278148662,Sách - Hirano Và Kagiura - Tập 2 - Tặng Kèm Bookmark Hai Mặt + Postcard + Random 1 Trong 2 Mẫu Standee PVC Bập Bênh,78200,85000,8,0.0,0,1,,XYZ,Nhà Xuất Bản Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278016083,Sách Hôm Nay Tôi Lại Bị Ép Sống Lại – Tập 2,157000,175000,10,5.0,4,28,A Từ Cô Nương,Daisy.horror,Nhà Xuất Bản Hà Nội,,Bìa mềm,432.0,2025-05-28,Tiki Trading,available,1000,False,True,True
278000691,Sách Phán Quan - Tập 2,159200,199000,20,5.0,12,73,Mộc Tô Lý,Moon Novels,Nhà Xuất Bản Hà Nội,,Bìa mềm,400.0,2025-05-24,Tiki Trading,available,1000,False,True,True
277438630,Sách Kết hôn với bạn học (Tập 2),132000,165000,20,5.0,1,18,Kỷ Kinh,Daisy Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,360.0,2025-05-01,Tiki Trading,available,1000,False,True,True
277312584,Sách Tháng 12 – Tập 2,126400,158000,20,5.0,1,22,samk,Moon Novels,Nhà Xuất Bản Hà Nội,,Bìa mềm,400.0,2025-05-01,Tiki Trading,available,1000,False,True,True
276950782,Sách - Lạc Trì - Combo 2 Tập - Dư Trình - AZ Việt Nam,289000,289000,0,0.0,0,2,,AZ Việt Nam,Nhà Xuất Bản Thế Giới,,,,,Bamboo Books,available,1000,True,True,True
276946913,Sách - Phương Pháp Học Feynman - AZ Việt Nam,139000,139000,0,0.0,0,0,,AZ Việt Nam,Nhà Xuất Bản Thế Giới,,,,,Bamboo Books,available,1000,True,True,True
276918459,Sách - Nghệ Thuật Của Sự Cô Đơn - AZ Việt Nam,108000,108000,0,0.0,0,1,,AZ Việt Nam,Nhà Xuất Bản Thế Giới,,,,,Bamboo Books,available,1000,True,True,True
276911649,Sách - Tâm Lý Học Tình Yêu - Tình Yêu Của Bạn Giống Như Bạn - AZ Việt Nam,129000,129000,0,0.0,0,1,,AZ Việt Nam,Nhà Xuất Bản Thế Giới,,,,,Bamboo Books,available,1000,True,True,True
276860884,Sách Thuốc Giải – Tập 1,199200,249000,20,5.0,1,15,Vu Triết,Irisbooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,,2024-03-12,Tiki Trading,available,1000,False,True,True
276810383,Sách Chất Dị Ứng Đáng Yêu (Tập 2),159000,179000,11,5.0,13,86,Trĩ Sở,Daisy Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,,2024-03-12,Tiki Trading,available,1000,False,True,True
276132452,Sách Em Và Chức Vô Địch Đều Thuộc Về Anh – Tập 2,143500,169000,15,4.5,10,111,Trần Ẩn,Moon Novels,Nhà Xuất Bản Hà Nội,,Bìa mềm,544.0,,Tiki Trading,available,1000,False,True,True
274168283,Sách Phức Cảm Omega - Omega Complex Tập 2,148000,185000,20,5.0,21,154,Oneulbom,Moon Novels,Nhà Xuất Bản Hà Nội,,Bìa mềm,304.0,,Tiki Trading,available,1000,False,True,True
273869072,Sách Tôi giỏi để tôi lên (Tập 2),160000,179000,11,4.8,30,141,Tương Tử Bối,Daisy Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,468.0,,Tiki Trading,available,1000,False,True,True
273714386,Combo 2 cuốn Lạc Mất + Chúng Ta Của Hiện Tại,276480,384000,28,0.0,0,1,nhieu tac gia,1980 Books,Nhà Xuất Bản Thanh Niên,,Bìa mềm tay gấp,500.0,2023-12-26,1980 BOOKS HCM,available,1000,True,True,True
273707309,Sách Chúng Ta Của Hiện Tại,123600,195000,37,0.0,0,12,"Becky Albertalli, Adam Silvera",1980 Books,Nhà Xuất Bản Thanh Niên,,Bìa mềm,524.0,2023-12-01,Tiki Trading,available,1000,False,True,True
272466605,Garuda x Naga - Tình Yêu Và Thù Hận,94500,189000,50,0.0,0,0,,1980 Books,Nhà Xuất Bản Thanh Niên,,,,,TTR Next Generation,available,1000,True,True,True
271920454,Sách Thương Tiến Cửu - Tập 4,125200,169000,26,5.0,22,172,Đường Tửu Khanh,Cẩm Phong Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,424.0,2023-01-01,Tiki Trading,available,1000,False,True,True
270300483,Sách Minh Nhật Tinh Trình Tập 2,177000,198000,11,5.0,27,201,Kim Cương Quyển,Skynovel,Nhà Xuất Bản Dân Trí,,Bìa mềm,545.0,2023-01-01,Tiki Trading,available,1000,False,True,True
